id,tokencount,department,messagecount,method,created_on,updated_on
39,286,ITM-KM-IL,1,Chat,2023-11-29 16:11:51.962051,2023-11-29 16:11:51.962057
40,199,ITM-IBS61,1,Chat,2023-11-30 07:24:21.275737,2023-11-30 07:24:21.275748
41,962,ITM-KM-IL,1,Brainstorm,2023-11-30 07:47:37.750850,2023-11-30 07:47:37.750855
42,91,ITM-IBS324,1,Chat,2023-11-30 08:17:23.448917,2023-11-30 08:17:23.448927
43,311,ITM-IBS324,2,Chat,2023-11-30 08:17:39.998653,2023-11-30 08:17:39.998660
44,375,ITM-IBS324,3,Chat,2023-11-30 08:18:02.348915,2023-11-30 08:18:02.348922
45,439,ITM-IBS324,4,Chat,2023-11-30 08:18:14.687380,2023-11-30 08:18:14.687389
46,1706,ITM-KM-IL,1,Chat,2023-11-30 08:53:21.153258,2023-11-30 08:53:21.153265
47,1801,ITM-KM-IL,2,Chat,2023-11-30 08:55:16.930798,2023-11-30 08:55:16.930803
48,1974,ITM-KM-IL,3,Chat,2023-11-30 08:59:13.733723,2023-11-30 08:59:13.733730
49,20,ITM-KM83,1,Chat,2023-11-30 09:13:56.797789,2023-11-30 09:13:56.797794
50,25,ITM-KM83,1,Chat,2023-11-30 09:13:59.582737,2023-11-30 09:13:59.582744
51,34,ITM-KM83,1,Chat,2023-11-30 09:14:01.416344,2023-11-30 09:14:01.416350
52,20,ITM-KM83,1,Chat,2023-11-30 09:14:16.957065,2023-11-30 09:14:16.957071
53,435,RBS-ZIM-SÜD-1,1,Chat,2023-11-30 09:14:39.216351,2023-11-30 09:14:39.216357
54,39,ITM-KM83,2,Chat,2023-11-30 09:15:32.641293,2023-11-30 09:15:32.641300
55,59,ITM-KM83,3,Chat,2023-11-30 09:15:38.976641,2023-11-30 09:15:38.976647
56,3765,ITM-KM83,1,Sum,2023-11-30 09:45:46.712999,2023-11-30 09:45:46.713005
57,2510,ITM-KM83,1,Sum,2023-11-30 09:46:32.014154,2023-11-30 09:46:32.014160
58,3991,ITM-KM83,1,Sum,2023-11-30 09:58:48.549993,2023-11-30 09:58:48.549999
59,1608,ITM-KM83,1,Brainstorm,2023-11-30 10:03:03.326333,2023-11-30 10:03:03.326340
60,226,ITM-KM-IL,1,Chat,2023-11-30 10:03:52.724051,2023-11-30 10:03:52.724060
61,3885,ITM-KM-IL,1,Sum,2023-11-30 10:31:15.031425,2023-11-30 10:31:15.031433
62,3178,ITM-KM-IL,1,Sum,2023-11-30 10:34:20.525067,2023-11-30 10:34:20.525072
63,213,ITM-KM83,1,Chat,2023-11-30 10:38:07.929431,2023-11-30 10:38:07.929436
64,3776,ITM-KM83,1,Sum,2023-11-30 10:38:32.929815,2023-11-30 10:38:32.929820
65,275,ITM-IBS324,1,Chat,2023-11-30 10:45:47.595400,2023-11-30 10:45:47.595411
66,2120,ITM-KM-IL,4,Chat,2023-11-30 10:49:10.882221,2023-11-30 10:49:10.882231
67,30,ITM-KM83,1,Chat,2023-11-30 12:33:59.791457,2023-11-30 12:33:59.791466
68,981,ITM-KM83,1,Brainstorm,2023-11-30 12:39:06.310324,2023-11-30 12:39:06.310333
69,555,ITM-KM-IL,1,Brainstorm,2023-11-30 14:35:21.474613,2023-11-30 14:35:21.474618
70,665,ITM-KM-IL,1,Chat,2023-11-30 14:35:39.762479,2023-11-30 14:35:39.762486
71,789,ITM-KM-IL,2,Chat,2023-11-30 14:36:07.121829,2023-11-30 14:36:07.121838
72,1011,ITM-KM-IL,3,Chat,2023-11-30 14:36:22.766517,2023-11-30 14:36:22.766523
73,1232,ITM-KM-IL,4,Chat,2023-11-30 14:36:45.121721,2023-11-30 14:36:45.121728
74,1438,ITM-KM-IL,5,Chat,2023-11-30 14:37:03.423302,2023-11-30 14:37:03.423615
75,1715,ITM-KM-IL,6,Chat,2023-11-30 14:37:35.699528,2023-11-30 14:37:35.699535
76,2361,ITM-KM-IL,7,Chat,2023-11-30 14:37:51.528048,2023-11-30 14:37:51.528054
77,2355,ITM-KM-IL,7,Chat,2023-11-30 14:38:20.010303,2023-11-30 14:38:20.010310
78,2356,ITM-KM-IL,7,Chat,2023-11-30 14:38:32.281770,2023-11-30 14:38:32.281776
79,2358,ITM-KM-IL,7,Chat,2023-11-30 14:39:11.627522,2023-11-30 14:39:11.627529
80,3681,ITM-KM83,1,Sum,2023-11-30 16:20:45.836170,2023-11-30 16:20:45.836176
81,4028,ITM-KM83,1,Sum,2023-11-30 16:36:39.913607,2023-11-30 16:36:39.913611
82,470,ITM-KM83,1,Chat,2023-11-30 16:49:05.787221,2023-11-30 16:49:05.787228
83,1231,ITM-KM83,2,Chat,2023-11-30 16:49:55.970484,2023-11-30 16:49:55.970495
84,1605,ITM-KM83,3,Chat,2023-11-30 16:50:23.611376,2023-11-30 16:50:23.611383
85,1776,ITM-KM83,4,Chat,2023-11-30 16:51:07.873898,2023-11-30 16:51:07.873905
86,1813,ITM-KM83,4,Chat,2023-11-30 16:51:45.317171,2023-11-30 16:51:45.317180
87,43,ITM-KM83,1,Chat,2023-11-30 16:52:57.065876,2023-11-30 16:52:57.065882
88,341,ITM-KM83,1,Chat,2023-11-30 16:53:10.973085,2023-11-30 16:53:10.973090
89,143,ITM-KM83,1,Chat,2023-11-30 16:53:32.622440,2023-11-30 16:53:32.622447
90,863,ITM-KM83,2,Chat,2023-11-30 16:54:04.491042,2023-11-30 16:54:04.491049
91,4157,ITM-KM83,1,Sum,2023-11-30 16:55:17.292871,2023-11-30 16:55:17.292875
92,4281,ITM-KM83,1,Sum,2023-11-30 16:56:51.865033,2023-11-30 16:56:51.865038
93,3472,ITM-KM83,1,Sum,2023-11-30 16:57:30.053287,2023-11-30 16:57:30.053293
94,3399,ITM-KM83,1,Sum,2023-11-30 16:57:57.306482,2023-11-30 16:57:57.306486
95,2903,ITM-KM83,1,Sum,2023-11-30 16:58:34.694746,2023-11-30 16:58:34.694751
96,940,ITM-KM83,1,Brainstorm,2023-11-30 16:58:59.078444,2023-11-30 16:58:59.078449
97,685,ITM-KM83,1,Brainstorm,2023-11-30 16:59:50.605795,2023-11-30 16:59:50.605800
98,424,ITM-KM-IL,1,Chat,2023-12-01 07:28:05.412264,2023-12-01 07:28:05.413142
99,713,ITM-KM-IL,2,Chat,2023-12-01 07:29:00.243151,2023-12-01 07:29:00.243158
100,365,RBS-ZIM-SÜD-1,1,Chat,2023-12-01 07:49:53.268083,2023-12-01 07:49:53.268097
101,769,RBS-ZIM-SÜD-1,2,Chat,2023-12-01 07:50:51.434612,2023-12-01 07:50:51.434617
102,951,RBS-ZIM-SÜD-1,3,Chat,2023-12-01 07:51:32.062902,2023-12-01 07:51:32.062909
103,303,ITM-KM83,1,Chat,2023-12-01 07:53:49.641102,2023-12-01 07:53:49.641114
104,1011,ITM-KM83,2,Chat,2023-12-01 07:54:54.511017,2023-12-01 07:54:54.511024
105,1485,ITM-KM83,3,Chat,2023-12-01 07:55:37.373304,2023-12-01 07:55:37.373310
106,1541,ITM-KM83,3,Chat,2023-12-01 07:59:34.730943,2023-12-01 07:59:34.730949
107,385,ITM-KM83,1,Chat,2023-12-01 08:01:13.552373,2023-12-01 08:01:13.552380
108,34,ITM-KM83,1,Chat,2023-12-01 08:01:49.365117,2023-12-01 08:01:49.365123
109,3545,ITM-KM83,1,Sum,2023-12-01 08:02:19.128990,2023-12-01 08:02:19.128995
110,1285,ITM-KM83,1,Brainstorm,2023-12-01 08:03:04.429863,2023-12-01 08:03:04.429868
111,1413,RBS-ZIM-SÜD-1,4,Chat,2023-12-01 08:03:24.513672,2023-12-01 08:03:24.513679
112,1155,ITM-KM83,1,Brainstorm,2023-12-01 08:04:22.799716,2023-12-01 08:04:22.799722
115,2542,RBS-ZIM-SÜD-1,6,Chat,2023-12-01 08:09:51.430596,2023-12-01 08:09:51.430603
117,4075,RBS-ZIM-SÜD-1,8,Chat,2023-12-01 08:14:12.818677,2023-12-01 08:14:12.818685
123,1094,ITM-IBS51,1,Brainstorm,2023-12-01 09:17:28.140556,2023-12-01 09:17:28.140564
124,352,ITM-IBS53,1,Chat,2023-12-01 09:17:29.360035,2023-12-01 09:17:29.360076
125,217,ITM-IBS342,1,Chat,2023-12-01 09:17:30.235689,2023-12-01 09:17:30.235696
127,985,ITM-KM83,2,Chat,2023-12-01 09:17:53.086675,2023-12-01 09:17:53.086681
128,1015,ITM-IBS53,2,Chat,2023-12-01 09:18:03.528898,2023-12-01 09:18:03.528910
130,465,KVR-II/44,2,Chat,2023-12-01 09:18:12.070687,2023-12-01 09:18:12.070693
132,67,ITM-IBS131,1,Chat,2023-12-01 09:18:28.205869,2023-12-01 09:18:28.205876
135,186,ITM-IBS131,2,Chat,2023-12-01 09:18:43.470121,2023-12-01 09:18:43.470127
136,177,KVR-IV-BD IT25,2,Chat,2023-12-01 09:18:47.165028,2023-12-01 09:18:47.165035
139,309,KVR-IV-BD IT25,3,Chat,2023-12-01 09:19:02.903303,2023-12-01 09:19:02.903310
141,579,RKU-II-5,2,Chat,2023-12-01 09:19:19.583410,2023-12-01 09:19:19.583417
142,187,BAU-T312,2,Chat,2023-12-01 09:19:46.999124,2023-12-01 09:19:46.999131
144,632,ITM-IBS131,4,Chat,2023-12-01 09:19:54.926369,2023-12-01 09:19:54.926376
145,2563,ITM-IBS342,1,Sum,2023-12-01 09:20:03.823040,2023-12-01 09:20:03.823047
151,1055,ITM-KM83,2,Chat,2023-12-01 09:20:34.380382,2023-12-01 09:20:34.380390
153,250,ITM-KM84,1,Chat,2023-12-01 09:20:44.528670,2023-12-01 09:20:44.528677
155,1093,KVR-IV-BD IT25,5,Chat,2023-12-01 09:20:54.939724,2023-12-01 09:20:54.939730
156,979,PLAN-HAI-23,1,Brainstorm,2023-12-01 09:20:56.736115,2023-12-01 09:20:56.736121
157,792,RKU-II-5,3,Chat,2023-12-01 09:20:58.724236,2023-12-01 09:20:58.724243
159,1029,RKU-II-5,4,Chat,2023-12-01 09:21:12.338670,2023-12-01 09:21:12.338677
1214,153,MOR-GB2.35,1,Chat,2023-12-07 09:31:02.101015,2023-12-07 09:31:02.101023
1215,297,MOR-GB2.35,2,Chat,2023-12-07 09:31:25.611377,2023-12-07 09:31:25.611383
1216,455,MOR-GB2.35,3,Chat,2023-12-07 09:31:43.745515,2023-12-07 09:31:43.745520
1220,935,MOR-GB2.35,7,Chat,2023-12-07 09:32:53.391454,2023-12-07 09:32:53.391460
1224,365,ITM-KM-IL,1,Chat,2023-12-07 09:48:32.775810,2023-12-07 09:48:32.775817
1226,4219,ITM-KM-IL,1,Sum,2023-12-07 09:50:02.822863,2023-12-07 09:50:02.822867
1227,116,ITM-KM-IL,1,Chat,2023-12-07 09:50:26.032252,2023-12-07 09:50:26.032259
1228,550,ITM-KM-IL,2,Chat,2023-12-07 09:51:06.019722,2023-12-07 09:51:06.019729
1229,839,ITM-KM-IL,1,Brainstorm,2023-12-07 09:51:49.273671,2023-12-07 09:51:49.273676
1233,88,ITM-IBS131,1,Chat,2023-12-07 10:16:31.964162,2023-12-07 10:16:31.964168
1234,550,ITM-IBS131,2,Chat,2023-12-07 10:17:19.570919,2023-12-07 10:17:19.570925
1236,437,ITM-KM83,1,Chat,2023-12-07 10:25:41.715595,2023-12-07 10:25:41.715602
2144,599,ITM-KM82,1,Chat,2023-12-13 14:20:31.053774,2023-12-13 14:20:31.053782
2147,760,RBS-1-1741,3,Chat,2023-12-13 14:27:42.225617,2023-12-13 14:27:42.225623
2148,611,ITM-IBS411,1,Chat,2023-12-13 14:28:23.821988,2023-12-13 14:28:23.821992
2151,994,ITM-KM83,1,Brainstorm,2023-12-13 14:31:28.186912,2023-12-13 14:31:28.186933
2155,3076,ITM-KM83,4,Chat,2023-12-13 14:36:50.691051,2023-12-13 14:36:50.691058
2156,3562,ITM-KM83,5,Chat,2023-12-13 14:37:40.901208,2023-12-13 14:37:40.901213
2158,3996,ITM-KM83,2,Chat,2023-12-13 14:39:15.741470,2023-12-13 14:39:15.741477
2165,4442,ITM-KM83,6,Chat,2023-12-13 14:42:20.947795,2023-12-13 14:42:20.947801
2168,184,ITM-KM82,2,Chat,2023-12-13 14:42:50.929143,2023-12-13 14:42:50.929149
2171,6924,ITM-KM83,3,Chat,2023-12-13 14:44:21.900125,2023-12-13 14:44:21.900131
2175,6982,ITM-KM83,7,Chat,2023-12-13 14:44:35.181632,2023-12-13 14:44:35.181638
2176,6994,ITM-KM83,8,Chat,2023-12-13 14:44:36.852557,2023-12-13 14:44:36.852563
2181,245,ITM-KM83,3,Chat,2023-12-13 14:45:28.895347,2023-12-13 14:45:28.895353
2183,596,ITM-KM83,5,Chat,2023-12-13 14:46:41.628761,2023-12-13 14:46:41.628767
2189,210,ITM-KM83,1,Chat,2023-12-13 15:01:40.286796,2023-12-13 15:01:40.286802
2195,1778,ITM-KM83,7,Chat,2023-12-13 15:03:03.749298,2023-12-13 15:03:03.749303
2202,3872,ITM-KM83,14,Chat,2023-12-13 15:04:39.397950,2023-12-13 15:04:39.397956
2204,4202,ITM-KM83,16,Chat,2023-12-13 15:04:59.161463,2023-12-13 15:04:59.161469
2206,202,ITM-KM83,1,Chat,2023-12-13 15:05:19.289040,2023-12-13 15:05:19.289046
2207,496,ITM-KM83,2,Chat,2023-12-13 15:05:28.266751,2023-12-13 15:05:28.266757
2218,501,ITM-KM83,2,Chat,2023-12-13 15:10:33.826778,2023-12-13 15:10:33.826784
2220,990,ITM-KM83,4,Chat,2023-12-13 15:11:23.532278,2023-12-13 15:11:23.532284
2225,510,ITM-KM83,1,Chat,2023-12-13 15:37:50.916963,2023-12-13 15:37:50.916969
2227,1442,ITM-KM83,3,Chat,2023-12-13 15:39:00.568656,2023-12-13 15:39:00.568662
2231,266,ITM-KM83,1,Chat,2023-12-13 15:42:30.877351,2023-12-13 15:42:30.877357
2234,1437,ITM-KM83,4,Chat,2023-12-13 15:49:12.381321,2023-12-13 15:49:12.381326
2235,1724,ITM-KM83,5,Chat,2023-12-13 15:50:27.845180,2023-12-13 15:50:27.845185
2239,191,ITM-KM81,3,Chat,2023-12-14 05:56:10.770543,2023-12-14 05:56:10.770553
2241,197,ITM-KM81,1,Chat,2023-12-14 05:56:53.642954,2023-12-14 05:56:53.642960
2243,293,ITM-KM81,2,Chat,2023-12-14 05:57:44.417334,2023-12-14 05:57:44.417340
2245,56,S-I-WH5,1,Chat,2023-12-14 07:35:22.520667,2023-12-14 07:35:22.520673
2246,332,S-I-WH5,1,Chat,2023-12-14 07:41:40.925365,2023-12-14 07:41:40.925371
2247,124,ITM-KM83,1,Chat,2023-12-14 07:42:37.421549,2023-12-14 07:42:37.421556
2248,707,ITM-KM82,1,Chat,2023-12-14 07:42:59.128780,2023-12-14 07:42:59.128786
2250,1265,ITM-KM82,2,Chat,2023-12-14 07:43:21.483515,2023-12-14 07:43:21.483521
2258,1162,KVR-I/2212,1,Brainstorm,2023-12-14 07:55:34.862615,2023-12-14 07:55:34.862619
2259,274,ITM-KM81,1,Chat,2023-12-14 07:57:32.885007,2023-12-14 07:57:32.885013
2262,1099,ITM-KM81,1,Brainstorm,2023-12-14 08:11:39.593960,2023-12-14 08:11:39.593964
2263,1187,ITM-KM83,1,Brainstorm,2023-12-14 08:12:22.610061,2023-12-14 08:12:22.610065
2268,154,ITM-IBS342,2,Chat,2023-12-14 08:13:53.571375,2023-12-14 08:13:53.571382
2282,852,D-GL3-GPM,1,Chat,2023-12-14 08:25:46.191688,2023-12-14 08:25:46.191695
2285,104,ITM-KM8,3,Chat,2023-12-14 08:27:29.252087,2023-12-14 08:27:29.252093
2290,196,POR-5/3,1,Chat,2023-12-14 08:37:51.744821,2023-12-14 08:37:51.744833
2291,512,POR-5/3,2,Chat,2023-12-14 08:38:13.170891,2023-12-14 08:38:13.170897
2294,444,RIT-RL-BdR,2,Chat,2023-12-14 08:45:17.812557,2023-12-14 08:45:17.812563
2298,1824,RIT-RL-BdR,1,Sum,2023-12-14 08:48:24.851431,2023-12-14 08:48:24.851436
2300,710,RIT-I-A1,2,Chat,2023-12-14 08:49:22.060549,2023-12-14 08:49:22.060555
2301,1353,RIT-I-A1,1,Brainstorm,2023-12-14 08:49:59.407462,2023-12-14 08:49:59.407465
2699,31,ITM-KM45,1,Chat,2023-12-15 10:27:26.897459,2023-12-15 10:27:26.897465
2703,284,ITM-KM82,2,Chat,2023-12-15 10:34:51.715357,2023-12-15 10:34:51.715364
2705,4098,KVR-GL/31,1,Sum,2023-12-15 10:38:08.025941,2023-12-15 10:38:08.025963
2706,3402,KVR-GL/31,1,Sum,2023-12-15 10:42:37.167953,2023-12-15 10:42:37.167957
2711,316,ITM-KM82,2,Chat,2023-12-15 10:53:08.203369,2023-12-15 10:53:08.203376
2713,131,ITM-KM-IL,2,Chat,2023-12-15 10:58:47.893569,2023-12-15 10:58:47.893575
2720,133,ITM-KM83,1,Chat,2023-12-15 11:47:59.609628,2023-12-15 11:47:59.609635
2723,4273,KVR-GL/31,1,Sum,2023-12-15 11:53:02.916550,2023-12-15 11:53:02.916554
2730,6574,KVR-GL/31,1,Sum,2023-12-15 12:08:39.955325,2023-12-15 12:08:39.955330
2733,3919,KVR-GL/31,1,Sum,2023-12-15 12:20:03.632290,2023-12-15 12:20:03.632296
2735,396,RKU-II-5,1,Chat,2023-12-15 13:27:36.241876,2023-12-15 13:27:36.241882
2749,3222,KVR-GL/31,1,Sum,2023-12-15 14:05:28.768211,2023-12-15 14:05:28.768216
2753,1288,ITM-KM82,4,Chat,2023-12-15 14:27:48.579711,2023-12-15 14:27:48.579718
2755,677,PLAN-HAIV,2,Chat,2023-12-15 22:21:59.125280,2023-12-15 22:21:59.125286
2766,766,ITM-BdWL,3,Chat,2023-12-18 06:52:25.503057,2023-12-18 06:52:25.503066
2769,308,ITM-KM72,2,Chat,2023-12-18 07:28:29.812907,2023-12-18 07:28:29.812914
2772,1073,ITM-BdWL,2,Chat,2023-12-18 07:54:26.870447,2023-12-18 07:54:26.870454
2774,186,ITM-KM-IL,1,Chat,2023-12-18 08:17:32.753939,2023-12-18 08:17:32.753945
2775,22519,KVR-GL/31,1,Chat,2023-12-18 08:17:52.803066,2023-12-18 08:17:52.803073
2777,133,RIT-RL-BdR,1,Chat,2023-12-18 08:18:02.268836,2023-12-18 08:18:02.268841
2778,489,RIT-RL-BdR,1,Chat,2023-12-18 08:18:17.639673,2023-12-18 08:18:17.639679
2780,533,ITM-KM72,3,Chat,2023-12-18 08:22:08.338947,2023-12-18 08:22:08.338953
113,1776,RBS-ZIM-SÜD-1,5,Chat,2023-12-01 08:06:41.669905,2023-12-01 08:06:41.669912
116,3301,RBS-ZIM-SÜD-1,7,Chat,2023-12-01 08:11:52.777642,2023-12-01 08:11:52.777665
118,1095,POR-S2,1,Brainstorm,2023-12-01 09:10:24.943199,2023-12-01 09:10:24.943204
121,206,KVR-II/44,1,Chat,2023-12-01 09:16:45.600914,2023-12-01 09:16:45.600919
126,529,KR-GSM-GEO-GG,1,Chat,2023-12-01 09:17:31.228617,2023-12-01 09:17:31.228624
129,215,ITM-KM54,1,Chat,2023-12-01 09:18:11.422974,2023-12-01 09:18:11.422981
133,98,BAU-T312,1,Chat,2023-12-01 09:18:28.397638,2023-12-01 09:18:28.397646
146,4163,ITM-KM83,1,Sum,2023-12-01 09:20:09.893776,2023-12-01 09:20:09.893782
147,183,PLAN-HAI-23,1,Chat,2023-12-01 09:20:12.735188,2023-12-01 09:20:12.735194
148,303,ITM-KM54,2,Chat,2023-12-01 09:20:17.779141,2023-12-01 09:20:17.779147
154,1426,ITM-KM83,3,Chat,2023-12-01 09:20:49.539100,2023-12-01 09:20:49.539107
1217,624,MOR-GB2.35,4,Chat,2023-12-07 09:32:10.384079,2023-12-07 09:32:10.384087
1218,718,MOR-GB2.35,5,Chat,2023-12-07 09:32:18.744508,2023-12-07 09:32:18.744514
1221,1179,MOR-GB2.35,8,Chat,2023-12-07 09:33:16.331760,2023-12-07 09:33:16.331767
1223,1571,MOR-GB2.35,10,Chat,2023-12-07 09:34:08.934900,2023-12-07 09:34:08.934918
1225,645,ITM-KM-IL,2,Chat,2023-12-07 09:48:49.240102,2023-12-07 09:48:49.240108
1230,900,ITM-KM-IL,1,Brainstorm,2023-12-07 09:52:13.629523,2023-12-07 09:52:13.629530
1232,480,ITM-KM82,1,Chat,2023-12-07 10:00:36.205925,2023-12-07 10:00:36.205931
2145,342,RBS-1-1741,1,Chat,2023-12-13 14:23:58.498196,2023-12-13 14:23:58.498203
2146,492,RBS-1-1741,2,Chat,2023-12-13 14:24:48.762604,2023-12-13 14:24:48.762609
2152,829,ITM-KM83,1,Chat,2023-12-13 14:32:13.149453,2023-12-13 14:32:13.149463
2154,2280,ITM-KM83,3,Chat,2023-12-13 14:34:33.109278,2023-12-13 14:34:33.109284
2157,514,ITM-KM83,1,Chat,2023-12-13 14:38:41.360552,2023-12-13 14:38:41.360557
2160,4419,ITM-KM83,4,Chat,2023-12-13 14:39:50.328948,2023-12-13 14:39:50.335002
2161,243,ITM-KM83,1,Chat,2023-12-13 14:41:02.392686,2023-12-13 14:41:02.392691
2163,79,ITM-KM82,1,Chat,2023-12-13 14:41:59.741270,2023-12-13 14:41:59.741275
2164,4430,ITM-KM83,5,Chat,2023-12-13 14:42:18.602269,2023-12-13 14:42:18.602275
2167,4459,ITM-KM83,7,Chat,2023-12-13 14:42:28.489558,2023-12-13 14:42:28.489564
2169,6890,ITM-KM83,1,Chat,2023-12-13 14:43:40.630765,2023-12-13 14:43:40.630772
2173,6951,ITM-KM83,5,Chat,2023-12-13 14:44:27.302058,2023-12-13 14:44:27.302064
2178,7021,ITM-KM83,10,Chat,2023-12-13 14:44:43.933173,2023-12-13 14:44:43.933179
2182,411,ITM-KM83,4,Chat,2023-12-13 14:46:00.752563,2023-12-13 14:46:00.752569
2186,953,ITM-KM83,8,Chat,2023-12-13 14:48:28.717367,2023-12-13 14:48:28.717373
2187,1044,ITM-KM83,9,Chat,2023-12-13 14:48:54.967974,2023-12-13 14:48:54.967997
2188,1686,ITM-KM83,10,Chat,2023-12-13 14:49:25.377791,2023-12-13 14:49:25.377797
2190,448,ITM-KM83,2,Chat,2023-12-13 15:01:45.304457,2023-12-13 15:01:45.304461
2191,710,ITM-KM83,3,Chat,2023-12-13 15:02:02.035620,2023-12-13 15:02:02.035626
2194,1498,ITM-KM83,6,Chat,2023-12-13 15:02:48.599784,2023-12-13 15:02:48.599790
2196,2059,ITM-KM83,8,Chat,2023-12-13 15:03:19.364807,2023-12-13 15:03:19.364813
2200,3200,ITM-KM83,12,Chat,2023-12-13 15:04:02.824997,2023-12-13 15:04:02.825004
2201,3536,ITM-KM83,13,Chat,2023-12-13 15:04:16.701979,2023-12-13 15:04:16.701985
2203,3905,ITM-KM83,15,Chat,2023-12-13 15:04:44.124786,2023-12-13 15:04:44.124801
2205,4215,ITM-KM83,17,Chat,2023-12-13 15:05:02.914271,2023-12-13 15:05:02.914277
2210,1351,ITM-KM83,5,Chat,2023-12-13 15:06:10.325762,2023-12-13 15:06:10.325767
2212,1764,ITM-KM83,7,Chat,2023-12-13 15:06:50.219789,2023-12-13 15:06:50.219795
2214,1238,ITM-KM83,2,Chat,2023-12-13 15:09:27.559234,2023-12-13 15:09:27.559240
2215,1452,ITM-KM83,3,Chat,2023-12-13 15:09:35.431824,2023-12-13 15:09:35.431830
2216,1697,ITM-KM83,4,Chat,2023-12-13 15:09:46.621677,2023-12-13 15:09:46.621683
2219,550,ITM-KM83,3,Chat,2023-12-13 15:10:56.904823,2023-12-13 15:10:56.904828
2221,866,RIT-I-A2,1,Brainstorm,2023-12-13 15:26:06.617085,2023-12-13 15:26:06.617089
2223,933,RIT-I-A2,2,Chat,2023-12-13 15:27:39.687051,2023-12-13 15:27:39.687055
2224,1407,RIT-I-A2,3,Chat,2023-12-13 15:28:36.111767,2023-12-13 15:28:36.111772
2226,1121,ITM-KM83,2,Chat,2023-12-13 15:38:26.066303,2023-12-13 15:38:26.066310
2228,2091,ITM-KM83,4,Chat,2023-12-13 15:39:24.085932,2023-12-13 15:39:24.085955
2232,886,ITM-KM83,2,Chat,2023-12-13 15:42:50.403116,2023-12-13 15:42:50.403123
2233,1305,ITM-KM83,3,Chat,2023-12-13 15:48:27.870563,2023-12-13 15:48:27.870585
2236,153,ITM-KM81,1,Chat,2023-12-14 05:55:05.733140,2023-12-14 05:55:05.733149
